index,sentence,LB,UB,Currency,Rate
986,Omron HJ- 720 ITC Pocket Pedometer with Advanced Omron Health Management SoftwareBrand : OmronList Price:$ 59.99 Buy New:$ 29.99 You Save:$ 30.00 ( 50 % ),59.99,59.99,$,-
987,"Age : 2 Color : Red , Blue , Sorrel Gender : Male Price : $ 350",350,350,$,-
988,"estimates , the war has cost the country around 800 billion dollars till 1988",800 billion,800 billion,dollars,-
989,original price $ 350.00 selling price listed above,350.00,350.00,$,-
990,Price : $ 23.50 ( 15 Bids)Sale Ends : 1 d 5h,23.50,23.50,$,-
991,Liberty Media to pay $ 31 million for Celebrate Express,31 million,31 million,$,-
992,"Cost : $ 60 - includes greens fees , cart fees , donation to ACS , continental breakfast and lunch .",60,60,$,-
993,Price : $ 79.99 ( 0 Bids)Buy It Now Price : $ 110.00 Sale Ends : 4 d 23 h 15 m,79.99,79.99,$,-
994,"Sunrise , Sunrise Series # 1 - Slightly ImperfectOur Price : $ 8.24",8.24,8.24,$,-
995,4 x 4 from prices $ 5000 to - $ 15000 sell yamaha rhino 660 ssv This is 4 x 4 . as same if not new better . new Got just this month,15000,15000,$,-
996,Head Realistic LatexOur Price : $ 24.00 More DetailsBUY NOWLatex Cut Off Head with realistic plastic eyes . Excellent detailing and hand painted . Very lifelike .,24.00,24.00,$,-
997,Price : From $ 10.50 to $ 36.00,10.50,36.00,$,-
998,Baldry cut his price target to $ 8 from $ 11 .,11,11,$,-
999,Bob Beck Protocol ( ONE TIME COST of between $ 250 and $ 800 ),250,800,$,-
1000,5 -yr . pay plan ( $ 135/yr . ),135/yr,135/yr,$,-
1001,Making Things Talk : Practical Methods for Connecting Physical ObjectsAuthor : Tom IgoeList Price:$ 29.99 Buy New:$ 19.79 You Save:$ 10.20 ( 34 % ),29.99,29.99,$,-
1002,843760494 X 9788437604947 List Price : $ 18.99,18.99,18.99,$,-
1003,versatile tool to help technicians diagnose EVAP trouble codes on . The Smoke Pro Tech - Mate ( price $ 695.00 ) is a basic EVAP Approved smoke machine . Without,695.00,695.00,$,-
1004,"Italy agreed Saturday to pay Libya $ 5 billion as compensation for its 30 -year occupation of the country , which ended in 1943 .",5 billion,5 billion,$,-
1005,"samples in MP 3 formatOMEN , THE : THE DELUXE EDITION - Original Soundtrack 302 066 288 2 Regular price : $ 16.95 Sale price : $ 11.95",16.95,16.95,$,-
1006,The kit for a 24 x 36 printretails for $ 490 but we have a special price of $ 300 .,490,490,$,-
1007,charge anywhere from $ 60 to $ 100 per hour !,60,100,$,hour
1008,"400 / 1.04 TB AIT 2 Black Lib with bcr 1 DR/ 8 SLOT 1 U Rack / desk 1 YR - XCHBrand : SonyList Price:$ 4,648.40 Buy New:$ 3,128.03 You Save:$ 1520.37 ( 33 % )","4,648.40","4,648.40",$,-
1009,Breed : Pit Bull Terrier Age : 0.1 Color : Blue Gender : Male Size : Small Price : $ 300,300,300,$,-
1010,Portabella mushrooms were once sent to the compost pile . Now they are delicacies that cost $ 6.00 a pound .,6.00,6.00,$,-
1011,Boss BR- 600 DemoBlowout Price : $ 299.97 You Save 33 %,299.97,299.97,$,-
1012,Love AffairDirector : Glenn Gordon CaronList Price:$ 19.98 Buy New:$ 11.35 You Save:$ 8.63 ( 43 % ),19.98,19.98,$,-
1013,"pays MORE than a hundred dollars for a hundred words ,",hundred,hundred,dollars,-
1014,a flat rate of $ 50 . Each page beyond 10 will cost an additional $ 4.00,50,50,$,-
1015,Price $ 350 Maximum class size 5 : 1,350,350,$,-
1016,self - improvement market is worth $ 9.6 Billion . Personal coaching &,9.6 Billion,9.6 Billion,$,-
1017,Regular ticket price is $ 12,12,12,$,-
1018,"I highly recommended Advanced Max Character Modeling to anyone interested in learning detailed , organic modeling . It 's well worth the $ 45 .",45,45,$,-
1019,the put - in for Spring Creek . Campsites cost $ 8 a night .,8,8,$,-
1020,Prices : $ 197 -$ 881,197,197,$,-
1021,territory and is used by the company to transport ores . The company pays about US$ 16 thousand,16 thousand,16 thousand,$,-
1022,"AFCNA - VestDate Added : Monday 01 December , 2008 Designer Line : Price : $ 158.00",158.00,158.00,$,-
1023,1999 Minnie Winnebago Class C 22 Great Price - $ 15500 - ( Albany ) pic,15500,15500,$,-
1024,January!Price : $ 15.00 17.74 CAD,15.00 17.74,15.00 17.74,$,-
1025,( 3 to 6 Months ) and Size ( 6 - 12 Months ) . Sells for $ 29.95 .,3,6,-,-
1026,Philips CD 4450 B High Def Voice Cordless Phone Handset for CD 440 & CD 445 SeriesBrand : PhilipsList Price:$ 34.99 Buy New:$ 25.42 You Save:$ 9.57 ( 27 % ),34.99,34.99,$,-
1027,Author : William AndersonRetail Price : $ 9.99,9.99,9.99,$,-
1028,"The insurance costs about $ 300 a year , and the government pays half the premium for supervisors and certain other employees .",300,300,$,year
1029,Price:$ 64.95,64.95,64.95,$,-
1030,".com valuation by websiteoutlook . .com Estimated Worth $ 1934.5 USD . Now Check Your Website Worth , daily pageview and monthly possible Horoscopo De Walter Mercado 2009",1934.5,1934.5,$,-
1031,Korg TM- 40 Large Display Digital Tuner and MetronomeBrand : KorgList Price:$ 40.00 Buy New:$ 22.99 You Save:$ 17.01 ( 43 % ),40.00,40.00,$,-
1032,study found that a one - time adolescent pertussis vaccination would cost $ 15,15,15,$,-
1033,"CHU 580882008 Travel TrailerDutchmen Freedom Spirit Travel TrailerFS 260 F - DSLNew 0 $ 26,408 Sale Price : $ 17,995","26,408","26,408",$,-
1034,"David tweeted , "" How can we be in a recession when the top two best selling TVs on Amazon.com cost $ 1,338 and $ 1,693 respectively ? ""","1,338","1,338",$,-
1035,"every hour , beginning at 6 : 05 a.m. and ending at 6 : 05 p.m. The cost is $ 24.00",24.00,24.00,$,-
1036,The cost is $ 150 for non - TKD members .,150,150,$,-
1037,"Boston , MA 02215 ( 800 ) 922 - 8378 , cost $ 165",922,8378,-,-
1038,Cost:$ 99 Per Map,99,99,$,-
1039,"They wonder why his bond on the battery charge was only $ 1,500 .","1,500","1,500",$,-
1040,( The Sasquatch is a new Saskatchewan - focused newspaper launching in March 2009 .)Price : $ 45.00,45.00,45.00,$,-
1041,Afro W SideburnsOur Price : $ 10.00 More DetailsBUY NOW,10.00,10.00,$,-
1042,What it will cost you : $ 2.99 - 6.99 ( SRP ) .,2.99,6.99,$,-
1043,Pom Poms Plastic Yel Gld CheerOur Price : $ 4.80 More DetailsBUY NOW 16 inch plastic fringed pom pom with plastic handles attached . Set of two .,two,two,-,-
1044,"Toto In BasketOur Price : $ 11.00 More DetailsBUY NOWPlush toy dog in straw basket . 9 '' tall , 61 / 2 '' wide , 4 '' deep",11.00,11.00,$,-
1045,$ 695 / 2 br - Eagle 's Pointe will pay $ 300 of your move in costs ! - img,695,695,$,-
1046,"Price : $ 590 in sterling silver , one inch wide .",590,590,$,-
1047,Sony MSXM 8 GS 8 GB Memory Stick PRO Duo ( Retail Package)Brand : SonyList Price:$ 99.99 Buy New:$ 27.99 You Save:$ 72.00 ( 72 % ),99.99,99.99,$,-
1048,"at a cost of$ 14,000 . Read more","14,000","14,000",$,-
1049,Price:$ 79.95,79.95,79.95,$,-
1050,"rate , estimated to cost Denver taxpayers $ 27.5 million per year starting in",27.5 million,27.5 million,$,year
1051,Witch Set Woochie LargeOur Price : $ 9.00 More DetailsBUY NOWA quality latex nose and chin kit . Both have warts and can instantly turn anyone into a wicked witch .,9.00,9.00,$,-
1052,"stealing from thekids . This year , the district expects to pay $ 116 million from abudget",116 million,116 million,$,-
1053,"John Piper Collection , 5 VolumesAuthor : John PiperOur Price : $ 44.99",44.99,44.99,$,-
1054,"Her one - of - a - kind rings sell for $ 20 to $ 35 . She has shipped them as far as New Zealand , France and England .",20,35,$,-
1055,NASA : Keeping shuttle costs $ 3 billion yearly 2 : 02 pm - AP,3 billion,3 billion,$,-
1056,Hannah Montana Pewter and Jean FashionBrand : Hannah MontanaList Price:$ 21.99 Buy New:$ 14.77 You Save:$ 7.22 ( 33 % ),21.99,21.99,$,-
1057,* Luncheon reservations are required at a cost of $ 40 per person .,40,40,$,person
1058,Aust Price:$ 12.50,12.50,12.50,$,-
1059,Price : $ 100.00 ( 1 Bids)Sale Ends : 3 d 18 h 2 m,100.00,100.00,$,-
1060,Price : $ 200 + $ 29 ( S&H ),200,200,$,-
1061,"though , i 've never used that feature before . the one i have can store 100 laps , has 5 alarms , and cost me about $ 45 .",45,45,$,-
1062,"have consequently been awarded lump sum pay out of $ 1,200,000.00 ( One","1,200,000.00","1,200,000.00",$,-
1063,"We applied for our China visas today at a cost of HK$ 110 , about US$ 15 .",110,110,$,-
1064,Price:$ 650.00 ( Item : CL 01JC ),650.00,650.00,$,-
1065,"As previously announced , Fox has set a suggested retail price of $ 39.99 for the Blu - ray .",39.99,39.99,$,-
1066,Badge Police JumboOur Price : $ 2.50 More DetailsBUY NOWJumbo plastic badge with SPECIAL POLICE in a ring around the center . Badge is approx . 6 inches tall .,2.50,2.50,$,-
1067,"There is no check valve , but it should n't matter- $ 6.78 sell price/$ 13.05",6.78,6.78,$,-
1068,"is refundable up to May 1 , 2008 ( less $ 50 administration charge )",50,50,$,-
1069,Summer Barbeque Special # 3 for 6 - 8 People$ 39.95 + Taxplus overnight shipping cost + $ 10 Special Handling Fee for Shipped Orders,6,8,-,-
1070,posted by piggy_teeI get this tigger as a gift . Market price $ 29.90,29.90,29.90,$,-
1071,Jakks Pacific Small Classic Plush Canadian GooseBrand : Jakks PacificList Price:$ 5.99 Buy New:$ 5.10 You Save:$ 0.89 ( 15 % ),5.99,5.99,$,-
1072,"payment with you request , you will be required to pay the $ 23 fee before",23,23,$,-
1073,Florida To Pay $ 1.75 B To Save Everglades ( 6 / 24 / 2008 ),1.75,1.75,$,-
1074,Quick Ship Gifts Rien Poortvliet Garden Gnome Christian with Lantern Sale Price : $ 28.95,28.95,28.95,$,-
1075,.com Estimated Worth $ 4285.1 USD by websiteoutlookKuwento Ng Kantutan,4285.1,4285.1,$,-
1076,[ Home > Shop by Price > Gifts $ 20.00 to $ 39.99 > Engraved Leather Money Clip / Credit Card Holder ] Engraved Leather Money Clip/,20.00,39.99,$,-
1077,List Price : CDN$ 37.98 Amazon Price : CDN$ 19.99 Usually ships in 24 hourshttp://ca.hanamoku.com / detail / B 000 B 5MBWO.html[Amazon ],37.98,37.98,$,-
1078,"Kind of nice for them to snail mail everyone who registers this daily . Course , we did pay $ 50 to register",50,50,$,-
1079,"Reva purchase cost ~AU$ 15,000 ( UK price , not incl VAT )","15,000","15,000",$,-
1080,"and dust . My new room at the SamboPreyKoh hotel cost $ 10 , was",10,10,$,-
1081,Let It SnowArtist : Michael BubleList Price:$ 7.98 Buy New:$ 4.09 You Save:$ 3.89 ( 49 % ),7.98,7.98,$,-
1082,List Price : CDN$ 49.99 Amazon Price : CDN$ 46.99 Usually ships in 24 hoursAmazon Marketplace : CDN$ 28.99 Usually ships in 1 - 2 business days.http://ca.hanamoku.com/detail/B 000 FKBCX 4.html[Amazon ],1,2,-,-
1083,"Breed : Maltese Age : 0.21 Gender : Female Size : Small Price : $ 1,350","1,350","1,350",$,-
1084,Breed : American Bulldog Gender : Male Size : Small Price : $ 700,700,700,$,-
1085,Aerospace Group Activity Guide ( BU 6846 ) Sale Price $ 2.37,2.37,2.37,$,-
1086,"Kimono RedOur Price : $ 49.00 More DetailsBUY NOWTraditional Japanese Satin Robe with tie closures , Satin Belt and bow in back . Sizes 12 - 14 . Polyester .",12,14,-,-
1087,"Age : 1 Color : Black , White , Gray Gender : Male Size : Small Price : $ 800",800,800,$,-
1088,List Price : CDN$ 13.99 Amazon Price : CDN$ 14.99 Usually ships in 24 hoursAmazon Marketplace : CDN$ 11.43 Usually ships in 1 - 2 business days.http://ca.hanamoku.com/detail/B 000059RXO.html[Amazon ],1,2,-,-
1089,J- 14 Publisher : Bauer PublishingList Price:$ 35.88 Buy New:$ 14.97 You Save:$ 20.91 ( 58 % ),14.97,14.97,$,-
1090,thanhnienonline.com.vn Estimated Worth $ 2861.6 USD by websiteoutlookStarwars,2861.6,2861.6,$,-
1091,dolls sell for $ 8 and T - shirts for $ 16 . Better clothing at some shopsin,8,8,$,-
1092,Catholic Shrines of Western Europe : A Pilgrim 's Travel GuideAuthor : Kevin J. WrightOur Price : $ 11.99,11.99,11.99,$,-
1093,"Market Info Atlanta Metro Area , GA Avg Price : $ 946 Med Price : $ 825 Avg $ /SqFt : $ 0.84",946,946,$,-
1094,pay a $ 15 -million fine to resolve a criminal investigation ofa,15,15,$,-
1095,"Color : Cream , Bay Gender : Male Price : $ 3,000","3,000","3,000",$,-
1096,"Package Price : $ 3,000 ( 6 month contract )","3,000","3,000",$,-
1097,adjacent Ford 's Colony neighborhood . The cost is $ 25 to,25,25,$,-
1098,"Sheehy 's Emergency NursingAuthors : Ena , Lorene NewberryList Price:$ 86.95 Buy New:$ 78.25 You Save:$ 8.70 ( 10 % )",86.95,86.95,$,-
1099,"169117 , price $ 45.00 ( paper copy ) , $ 8.00 ( microfiche ) . Call NTIS",45.00,45.00,$,-
1100,"Breed : German Shepherd Age : 16 Color : Black , Tan , Red Gender : Female Size : Small Price : $ 600",600,600,$,-
1101,"* * * * * SPAM * * * * * Our price $ 79.95 adobe V 8.0 PRO ,",79.95,79.95,$,-
1102,Price:$ 259.95,259.95,259.95,$,-
1103,Clean - Up Charges $ 25.00,25.00,25.00,$,-
1104,"Kubota M 5040 HD , ROPS Tractor , R- 4 Tires , with Loader .. In Stock , Sale Price $ 28,350 .. Call 910 892 7171 or email carvequip@aol.com for your special quote .","28,350","28,350",$,-
1105,"Suzuki GS 500 Twin ' 89 to ' 06 ( Haynes Manuals)Authors : Matthew Coombs , Phil MatherList Price:$ 42.45 Buy New:$ 34.95 You Save:$ 7.50 ( 18 % )",42.45,42.45,$,-
1106,"Simon and Garfunkel , at the University in Davis , California in 1966 . Freeborn Hall auditorium cost : $ 2.00",2.00,2.00,$,-
1107,Price:$ 1500.00 ( Item : L- 48 ),1500.00,1500.00,$,-
1108,Thigh Hi Blk Wht Sheer StripesOur Price : $ 3.00 More DetailsBUY NOWSheer black and white striped thigh highs . One size fits most adults .,3.00,3.00,$,-
1109,and Transfers for a discounted price from $ 2099 .,2099,2099,$,-
1110,Focusrite ISA 828 B - StockBlowout Price : $ 2799.96 You Save $ 500.03,2799.96,2799.96,$,-
1111,Morning projection ( for Tuesdays average price per gallon ) : UP $ 0.04,0.04,0.04,$,gallon
1112,Price : $ 25.00 ( 1 Bids)Sale Ends : 2 d 10 m,25.00,25.00,$,-
1113,"( In Britain , it currently costs $ 200,000 more to build a zero - carbon , "" level","200,000","200,000",$,-
1114,"This is divided between the two houses , and the price they pay is from four to five dollars the picul .",four,five,-,-
1115,class . Price $ 100,100,100,$,-
1116,"If I like it , I 'll pay just $ 24.95 for a full",24.95,24.95,$,-
1117,Barrie Car Financing 100 % Approved or We Pay You $ 1000 !,1000,1000,$,-
1118,Price:$ 395.00 ( Item : 38 K- 53 ),395.00,395.00,$,-
1119,Author : John D. BeckettRetail Price : $ 20.00,20.00,20.00,$,-
1120,Author : Dan CutronaRetail Price : $ 11.99,11.99,11.99,$,-
1121,"$ 8.00 , for a total cost of $ 48.00 .",48.00,48.00,$,-
1122,worth $ 58 million to Atlanta Hawks restricted free agent,58 million,58 million,$,-
1123,"TheotorolaraveN 4 sortalntonnteractive , multi - dimensionalorldfusic , ideos , eb , ndmore . Itombinesnnnovativeouchcreen , ... More Detail Your Price : $ 49.99",49.99,49.99,$,-
1124,"Kubota ZG 327 P- 60 , 27 hp gas , 60 inch pro deck . , MSRP $ 9,836.00 ... sale price $ 8,749.00","8,749.00","8,749.00",$,-
1125,"Certified Pre - owned 8 Cylinder Engine 4.6 LColor - WhiteMileage - 50,871 Price : $ 16,880 Internet Price : $ 15,325","16,880","16,880",$,-
1126,Jenny Wiley State Resort Park offers half - day tours that include continental breakfast and costs $ 20 for adults and $ 10 for children under age 12 .,20,20,$,-
1127,Unit Price:$ 26.24 /lb * *,26.24,26.24,$,-
1128,you purchased these tools separately you would pay $ 65.95 ),65.95,65.95,$,-
1129,BROKEN CRAYONS has cost are $ 0 . !,0,0,$,-
1130,HSN Price : $ 49.50 Event Price : $ 44.50,49.50,49.50,$,-
1131,1971 vintag emotor home must sell quickly - $ 4800 - $ 4800 - ( Bakersfield ),4800,4800,$,-
1132,"GM is now worth 2.5 billion dollars . Chrysler probably values less than that . Therefore , 5 billion dollars can buy both companies .",2.5 billion,2.5 billion,dollars,-
1133,disneychannel.co.uk Estimated Worth $ 22323.4 USD by websiteoutlookNipple Slip Utube Nipple Nippleslip,22323.4,22323.4,$,-
1134,Bermuda Underwater Exploration Institute . He is believed to be worth over US$ 7.5,7.5,7.5,$,-
1135,new would cost more than $ 259 !,259,-,$,-
1136,Author : Thomas G. BandyRetail Price : $ 20.00,20.00,20.00,$,-
1137,Author : Diane CoryRetail Price : $ 12.99,12.99,12.99,$,-
1138,The cost is $ 25.00 ( unless otherwise stated ) for each program,25.00,25.00,$,-
1139,Stohlquist TREKKer Hi - BackPFD Price $ 89.95,89.95,89.95,$,-
1140,Circulatory Health - Heart Health - Joint Health - Full Circle 60 capsulesOn Sale ... $ 60.00 Sale Price : $ 40.00(More Info ),60.00,60.00,$,-
1141,Open daily from 10 pm . Comedy drag show and strippers every night from 12 : 30 pm . Entry charge $ 10,10,10,$,-
1142,Akhal - Teke racehorses worth around a million dollars each .,million,million,dollars,-
1143,( 11 - 12 : 30 ) COST $ 20/PLAYER,11,12,-,-
1144,"and programming requirements , we charge registered users $ 19.95 per",19.95,19.95,$,-
1145,pay a $ 5 monthly fee . Upgrading to VIP membership gets you some,5,5,$,-
1146,D'Addario 3 -Pack Elec Gtr Xl Sup LiteBrand : D'AddarioList Price:$ 26.49 Buy New:$ 6.94 You Save:$ 19.55 ( 74 % ),26.49,26.49,$,-
1147,Shareware Calendar of shows Price : $ 99.00 . File,99.00,99.00,$,-
1148,"expensive category ) , I am worth approximately US$ 25 . How much are you",25,25,$,-
1149,WANTED 1998 DODGE RAM 1500 parts truck will buy or trade a 1996 GMC Safari van worth $ 1000.00 for one 1994 and up will work PHONE 519 - 925 - 6116,1000.00,1000.00,$,-
1150,"Sony 4 "" X 6 "" Print Pack with Snap - off Edges for DPP - F PrintersBrand : SonyList Price:$ 51.48 Buy New:$ 21.88 You Save:$ 29.60 ( 57 % )",51.48,51.48,$,-
1151,after that as long as we have enough girls signed up . Cost $ 100,100,100,$,-
1152,Breed : Australian Shepherd Gender : Male Size : Small Price : $ 400,400,400,$,-
1153,Price:$ 175.00 ( Item : SHEP- 977 ),175.00,175.00,$,-
1154,Teenage Mutant Ninja Turtles Nunchucks : Sells for $ 5.95 .,5.95,5.95,$,-
1155,"Latin Stud 9 "" Price:$ 33.99",33.99,33.99,$,-
1156,Electroacoustics - Instruments for the measurement of sound intensity - Electromagnetic and electrostatic compatibility requirements and test procedures . Price : $ 66.00 .,66.00,66.00,$,-
1157,costs 1.2 million dollars . Five years ago I could have bought a prime luxury car,1.2 million,1.2 million,dollars,-
1158,DON'T PAY - $ 5.00 PER MINUTE That 's what other readers,5.00,5.00,$,-
1159,"separately . The new monitor sells for $ 374.95 at the time of release ,",374.95,374.95,$,-
1160,"VeggieTales : Moe y el Gran Escape ( VeggieTales : Moe and the Big Exit ) , DVDAuthor : Veggie TalesOur Price : $ 8.99",8.99,8.99,$,-
1161,Wholesale Price : $ 17.9,17.9,17.9,$,-
1162,Bvlgari Diagono Pro Acqua Watch SD 40 SSDAUTOOur Price $ 185.00,185.00,185.00,$,-
1163,"At a retail price of $ 10 , which includes folding scissors , it 's a convenience worth considering .",10,10,$,-
1164,"Folded products produced before November 1 , 1999 , cost $ 7.00 , regardless of",7.00,7.00,$,-
1165,Price : $ 4.99 ( USD ),4.99,4.99,$,-
1166,with snap closure and green bow tie . Sells for $ 15.95 .,15.95,15.95,$,-
1167,"of Mudd . Our Price : $ 16.99 . Smile Empty Soul 's debut release is a screeching , brooding affair that smiles little",16.99,16.99,$,-
